query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
pbs,,,,,215,17,8%,62.93%,1407
pa15,,,,,222,22,10%,62.93%,1038
n,,,,,215,18,8%,62.93%,1474
urn,,,,,234,30,13%,62.93%,139
write to work,,,,,207,13,6%,62.93%,62
pass,,,,,226,25,11%,62.93%,775
legalization,,,,,205,12,6%,62.93%,218
no trace letter,,,,,192,4,2%,62.93%,317
energy rebate,,,,,503,200,40%,62.93%,612
bn11,,,,,349,103,30%,62.93%,1262
psw visa,,,,,287,64,22%,62.93%,706
ca,,,,,190,3,2%,62.93%,895
accountant,,,,,278,59,21%,62.93%,50
wolverhampton,,,,,327,90,28%,62.93%,1210
m,,,,,198,9,5%,62.93%,1461
pva,,,,,474,183,39%,62.93%,538
boris johnson speech,,,,,212,18,8%,62.93%,1253
home office reference number,,,,,215,20,9%,62.93%,158
ucd50,,,,,213,19,9%,62.93%,1293
college brawl,,,,,203,13,6%,62.93%,24
bik,,,,,328,92,28%,62.93%,1118
proof of address,,,,,445,166,37%,62.93%,848
skill boot camp,/guidance/find-a-skills-bootcamp,3 perfect,3,,194,8,4%,62.93%,664
passport office address,,,,,360,113,31%,62.93%,849
tin number,,,,,199,12,6%,62.94%,863
webinar,,,,,386,130,34%,62.94%,761
court order,,,,,254,47,19%,62.94%,359
hmrc address,,,,,446,168,38%,62.94%,507
my orders,,,,,184,3,2%,62.94%,365
social services,,,,,325,92,28%,62.94%,275
harv,,,,,181,2,1%,62.94%,1085
norfolk,,,,,274,61,22%,62.94%,1315
international student,,,,,315,87,28%,62.94%,31
logging,,,,,200,15,8%,62.94%,65
penson,,,,,184,5,3%,62.94%,1308
download,,,,,344,106,31%,62.94%,755
mrn,,,,,255,50,20%,62.94%,1175
allowance,,,,,450,173,38%,62.94%,402
access,,,,,237,39,16%,62.94%,908
electric vehicles,,,,,616,278,45%,62.94%,482
uk access code,,,,,468,185,40%,62.94%,907
custom,,,,,204,19,9%,62.94%,600
notice143,,,,,196,14,7%,62.94%,1252
apply online,,,,,338,104,31%,62.94%,903
tax brackets,/tax-codes,3 perfect,3,,268,60,22%,62.94%,6
healthcare assistant,,,,,344,108,31%,62.94%,49
ni top up,,,,,217,28,13%,62.94%,636
apostle,,,,,174,1,1%,62.94%,1045
supplementary prescribing,,,,,193,13,7%,62.94%,131
citizen card,,,,,245,46,19%,62.94%,431
sport,,,,,327,98,30%,62.94%,1369
certificate of entitlement,,,,,473,190,40%,62.94%,224
cancel,,,,,371,126,34%,62.94%,446
lincoln,,,,,212,26,12%,62.94%,1210
home care,,,,,340,107,31%,62.94%,187
translation,,,,,413,153,37%,62.94%,817
salary calculator,,,,,335,104,31%,62.94%,405
my wills,,,,,171,1,1%,62.94%,83
incometax,,,,,177,5,3%,62.94%,395
police clearance,,,,,242,46,19%,62.94%,314
enquiry,,,,,253,53,21%,62.94%,838
afghanistan,,,,,737,358,49%,62.94%,1033
cybersecurity,,,,,205,23,11%,62.94%,315
dementia,,,,,473,192,41%,62.94%,122
23rd april,,,,,184,10,5%,62.94%,1336
child trust found,,,,,285,74,26%,62.94%,104
claim tax relief on union fees,/tax-relief-for-employees/professional-fees-and-subscriptions,3 perfect,3,,177,6,3%,62.94%,10
sher cod,,,,,177,6,3%,62.94%,641
cop26,,,,,226,37,16%,62.94%,1150
identity,,,,,699,335,48%,62.94%,279
climate,,,,,265,62,23%,62.94%,528
ute number,,,,,214,30,14%,62.94%,863
check company,/get-information-about-a-company,3 perfect,3,,317,95,30%,62.94%,762
college,,,,,282,73,26%,62.94%,24
sunak tax return,/government/publications/prime-minister-rishi-sunaks-schedule-of-taxable-sources-of-income-and-gains,3 perfect,3,,182,10,5%,62.94%,11
annual report,,,,,350,116,33%,62.94%,835
nursing,,,,,405,151,37%,62.94%,110
pre check,,,,,700,337,48%,62.94%,244
i,,,,,192,17,9%,62.94%,1450
research,,,,,349,116,33%,62.94%,28
coa,,,,,222,36,16%,62.94%,728
gate,,,,,188,15,8%,62.94%,488
reference,,,,,343,113,33%,62.94%,820
visa refund,,,,,303,88,29%,62.94%,704
lost ni number,/lost-national-insurance-number,3 perfect,3,,222,37,17%,62.94%,468
amazon,,,,,217,34,16%,62.94%,1319
6.1,,,,,393,145,37%,62.94%,952
latest news,,,,,177,9,5%,62.94%,852
provision,,,,,183,13,7%,62.94%,797
sc1,,,,,170,5,3%,62.94%,1117
tax log in,/log-in-register-hmrc-online-services,3 perfect,3,,247,54,22%,62.94%,6
document,,,,,293,83,28%,62.94%,284
retail,,,,,223,39,17%,62.94%,425
claim form,,,,,254,59,23%,62.94%,204
child benefit letter,,,,,403,153,38%,62.94%,104
bank account,,,,,387,143,37%,62.94%,384
ask,/contact-hmrc,2 good,2,,247,55,22%,62.94%,920
career allowance,/carers-allowance,3 perfect,3,,188,18,10%,62.94%,23
hmrc phone number,,,,,507,219,43%,62.94%,506
health insurance,,,,,499,214,43%,62.94%,183
apply ni number,/apply-national-insurance-number,3 perfect,3,,181,14,8%,62.94%,466
electrical apprenticeship,,,,,187,18,10%,62.94%,606
recruitment,,,,,366,131,36%,62.94%,264
change my details,,,,,226,43,19%,62.94%,805
protected payment,,,,,210,33,16%,62.94%,459
paying hard,,,,,178,13,7%,62.94%,85
state pension increase,,,,,508,221,44%,62.94%,309
moldovan,,,,,165,5,3%,62.94%,1263
dental,,,,,474,200,42%,62.94%,111
post study,/graduate-visa,3 perfect,3,,183,17,9%,62.94%,832
paracetamol,,,,,224,43,19%,62.94%,130
ni application,/apply-national-insurance-number,3 perfect,3,,170,9,5%,62.94%,465
bank statement,,,,,173,11,6%,62.94%,384
work allowance,,,,,311,98,32%,62.94%,62
online application,,,,,252,61,24%,62.94%,225
log off,,,,,163,5,3%,62.94%,737
book an appointment,,,,,291,86,30%,62.94%,814
credit score,,,,,240,54,23%,62.94%,461
gmail,,,,,159,3,2%,62.94%,734
act,,,,,224,44,20%,62.94%,342
uninhabitable,,,,,165,7,4%,62.94%,529
hr,,,,,260,67,26%,62.94%,1180
apply ni,/apply-national-insurance-number,3 perfect,3,,212,37,17%,62.94%,464
find my ni number,/lost-national-insurance-number,3 perfect,3,,185,20,11%,62.94%,466
translators,,,,,269,73,27%,62.94%,817
invitation,,,,,218,41,19%,62.94%,297
ta,,,,,164,7,4%,62.94%,890
technical application system,,,,,156,2,1%,62.94%,225
tracking visa application,,,,,349,124,36%,62.95%,702
business grant,,,,,460,194,42%,62.95%,382
e104,,,,,171,12,7%,62.95%,1291
dis,,,,,155,2,1%,62.95%,1087
change contact details,,,,,304,96,32%,62.95%,805
hgv medical,,,,,234,52,22%,62.95%,137
public health,,,,,367,136,37%,62.95%,182
connect the classroom,,,,,238,55,23%,62.95%,876
water,,,,,457,193,42%,62.95%,522
reports,,,,,203,33,16%,62.95%,835
bristol,,,,,360,132,37%,62.95%,1276
pregnant,,,,,433,178,41%,62.95%,116
sunak,,,,,325,110,34%,62.95%,561
forklift,,,,,155,3,2%,62.95%,1361
unique application number,,,,,242,58,24%,62.95%,862
tourism,,,,,507,225,44%,62.95%,163
re test,,,,,445,186,42%,62.95%,197
support,,,,,537,244,45%,62.95%,378
moving home,,,,,522,235,45%,62.95%,160
countersignature,,,,,493,217,44%,62.95%,592
viza,,,,,493,217,44%,62.95%,1158
leader as coach,,,,,150,1,1%,62.95%,44
coronation medal,,,,,559,259,46%,62.95%,1028
vat checker,,,,,235,55,23%,62.95%,617
old pensions,,,,,249,64,26%,62.95%,172
ess,,,,,171,15,9%,62.95%,582
form 8,,,,,182,22,12%,62.95%,964
apple,,,,,174,17,10%,62.95%,648
eal,,,,,174,17,10%,62.95%,1357
visto,,,,,347,126,36%,62.95%,1362
exemption,,,,,293,92,31%,62.95%,798
avc,,,,,191,28,15%,62.95%,1374
dual purpose,,,,,702,350,50%,62.95%,590
ai,,,,,343,124,36%,62.95%,896
concil tax,/council-tax-bands,3 perfect,3,,217,45,21%,62.95%,6
concil tax,/pay-council-tax,3 perfect,3,,217,45,21%,62.95%,6
concil tax,/council-tax-arrears,2 good,2,,217,45,21%,62.95%,6
adhd,,,,,666,328,49%,62.95%,1272
sustainability,,,,,304,100,33%,62.95%,238
animal,,,,,223,49,22%,62.95%,144
support space care home,,,,,153,5,3%,62.95%,187
g,,,,,156,7,4%,62.95%,1464
sicknote,,,,,148,2,1%,62.95%,1329
identification,,,,,368,141,38%,62.95%,226
admin,,,,,155,7,5%,62.95%,748
strategy,,,,,339,123,36%,62.95%,237
short code,,,,,185,26,14%,62.95%,725
mobility car,,,,,350,130,37%,62.95%,471
divorce certificate,,,,,262,75,29%,62.95%,322
digital assistant,,,,,292,94,32%,62.95%,49
postal address,,,,,292,94,32%,62.95%,849
lottery,,,,,180,24,13%,62.95%,1310
charity law updates 2022,,,,,145,2,1%,62.95%,355
j30 form,,,,,145,2,1%,62.95%,536
form 4,,,,,175,21,12%,62.95%,964
car allowance,,,,,440,188,43%,62.95%,471
numberplate,,,,,173,20,12%,62.95%,864
i’d check,,,,,390,157,40%,62.95%,899
admin review,,,,,155,9,6%,62.95%,840
norwich,,,,,231,57,25%,62.95%,1210
gov.uk id check,,,,,496,224,45%,62.95%,1452
russian,,,,,196,35,18%,62.95%,1012
apply for ilr,,,,,207,42,20%,62.95%,789
hi,,,,,145,3,2%,62.95%,1105
service leavers pack,,,,,175,22,13%,62.95%,601
upload,,,,,394,160,41%,62.95%,750
doctor,https://www.nhs.uk/service-search,2 good,2,,273,84,31%,62.95%,110
asilo,,,,,146,4,3%,62.95%,1311
renew bus pass,,,,,176,23,13%,62.95%,492
applications,,,,,371,146,39%,62.95%,225
directors ni,,,,,144,3,2%,62.95%,465
withdraw,,,,,209,44,21%,62.95%,779
identify,,,,,147,5,3%,62.95%,753
free solar panels,,,,,185,29,16%,62.95%,588
sme,,,,,250,70,28%,62.95%,1098
self sponsorship visa,,,,,215,48,22%,62.95%,195
football,,,,,302,103,34%,62.95%,1369
strikes,,,,,297,100,34%,62.95%,504
deceased,,,,,374,149,40%,62.95%,1031
u,,,,,153,10,7%,62.95%,1481
grand,,,,,156,12,8%,62.95%,1029
travel to uk,,,,,529,247,47%,62.95%,781
hmcr,,,,,140,2,1%,62.95%,1293
manchester,,,,,305,106,35%,62.95%,1207
ctg,,,,,138,1,1%,62.95%,1299
dependants,/uk-family-visa,3 perfect,3,,263,80,30%,62.95%,76
abortion,,,,,293,99,34%,62.95%,354
bet,,,,,150,9,6%,62.95%,435
vac,,,,,175,25,14%,62.95%,942
refunds,/claim-tax-refund,3 perfect,3,,467,209,45%,62.95%,448
vat 652,,,,,167,20,12%,62.95%,619
census,,,,,451,199,44%,62.95%,1388
pension tracking,/find-pension-contact-details,2 good,2,,289,97,34%,62.95%,403
pharmacy,,,,,211,48,23%,62.95%,130
dep,,,,,141,4,3%,62.95%,1170
cheque,,,,,220,54,25%,62.95%,449
track my visa,,,,,393,163,41%,62.95%,702
confirm id,,,,,166,20,12%,62.95%,1453
vacancy,,,,,377,153,41%,62.95%,292
lgbt,,,,,277,90,32%,62.95%,1331
social worker,,,,,323,119,37%,62.95%,275
sdp,,,,,169,22,13%,62.95%,1446
extension,,,,,261,80,31%,62.95%,211
gibraltar,,,,,618,305,49%,62.95%,1033
reading,,,,,316,115,36%,62.95%,39
electrol roll,,,,,162,18,11%,62.95%,606
apply now,,,,,235,64,27%,62.95%,793
car sale,,,,,146,8,5%,62.95%,474
acdp,,,,,238,66,28%,62.95%,1274
application forms,,,,,171,24,14%,62.95%,204
paying hercules,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3,,150,11,7%,62.95%,437
copd,,,,,323,120,37%,62.95%,1266
ca 3916,,,,,161,18,11%,62.95%,894
f,,,,,148,10,7%,62.95%,1484
pandemic preparedness one health,,,,,186,34,18%,62.95%,787
service,,,,,276,91,33%,62.95%,422
telephone contact,,,,,190,37,19%,62.95%,868
a rated,/uk-visa-sponsorship-employers,3 perfect,3,,147,10,7%,62.95%,254
insulation,,,,,626,312,50%,62.95%,217
uc 50,,,,,156,16,10%,62.95%,948
gov uk,,,,,202,45,22%,62.95%,909
wca,,,,,270,88,33%,62.95%,1121
hospitality,,,,,243,71,29%,62.95%,72
contact telephone,,,,,165,22,13%,62.95%,868
consent order,,,,,438,194,44%,62.95%,365
23 April,,,,,144,9,6%,62.95%,969
flexible support fund,,,,,455,205,45%,62.95%,373
environment,,,,,328,125,38%,62.95%,223
tps,,,,,137,5,4%,62.95%,141
post office,,,,,213,53,25%,62.95%,831
duty,,,,,262,84,32%,62.95%,336
find out about payments taken from my universal credit,,,,,130,1,1%,62.95%,937
decision letter,,,,,176,30,17%,62.95%,842
roadtax,,,,,406,175,43%,62.95%,489
tip,,,,,136,5,4%,62.95%,679
money taken off my universal credit,,,,,209,51,24%,62.95%,937
speak to someone,,,,,155,17,11%,62.95%,938
tracking visa,,,,,293,104,35%,62.95%,702
jsp 757,,,,,239,70,29%,62.95%,1213
legal,,,,,242,72,30%,62.95%,356
emmision,,,,,129,1,1%,62.95%,1342
diesel,,,,,268,89,33%,62.95%,607
early years child development training,,,,,177,32,18%,62.95%,94
defence,,,,,315,119,38%,62.95%,316
code of conduct,,,,,199,46,23%,62.95%,725
energy efficiency,,,,,272,92,34%,62.95%,612
science,,,,,256,82,32%,62.95%,28
adp,,,,,335,132,39%,62.95%,1145
a rated sponcership,/uk-visa-sponsorship-employers,3 perfect,3,,154,18,12%,62.95%,254
transgender,,,,,338,134,40%,62.95%,346
p40,,,,,138,8,6%,62.95%,883
appointments,,,,,284,100,35%,62.95%,293
support worker,,,,,274,94,34%,62.96%,378
letter,,,,,196,45,23%,62.96%,842
glasses,,,,,145,13,9%,62.96%,559
uni,,,,,137,8,6%,62.96%,851
tex,,,,,129,3,2%,62.96%,1010
palestine,,,,,178,34,19%,62.96%,1033
find out about money taken off my universal credit,,,,,192,43,22%,62.96%,937
change my name,,,,,322,125,39%,62.96%,808
coshh,,,,,141,11,8%,62.96%,1342
lockdown,/coronavirus,3 perfect,3,,160,23,14%,62.96%,786
notify,,,,,155,20,13%,62.96%,731
form 14,,,,,128,3,2%,62.96%,966
self sponsorship,,,,,174,32,18%,62.96%,192
transfer ownership,,,,,131,5,4%,62.96%,389
p.i.p,,,,,135,8,6%,62.96%,1467
request a repayment,,,,,290,106,37%,62.96%,458
taxation,,,,,147,16,11%,62.96%,218
benefit increase,,,,,293,108,37%,62.96%,77
citizens advice,,,,,193,45,23%,62.96%,836
international,,,,,266,91,34%,62.96%,31
energy rating,,,,,150,18,12%,62.96%,612
border force jobs,,,,,134,8,6%,62.96%,178
gas,,,,,353,146,41%,62.96%,626
safety,,,,,253,83,33%,62.96%,228
"construction','environment','industry','energy', 'city','infrastructure','building','project'",,,,,126,3,2%,62.96%,1075
bps,,,,,518,250,48%,62.96%,1303
pension estimate,,,,,410,182,44%,62.96%,403
cease trading,,,,,175,34,19%,62.96%,387
eicr,,,,,167,29,17%,62.96%,1314
inflation,,,,,278,99,36%,62.96%,218
irl,,,,,127,4,3%,62.96%,579
consent form,,,,,249,81,33%,62.96%,204
manual,,,,,260,88,34%,62.96%,483
w,,,,,133,8,6%,62.96%,1480
consultations,,,,,579,289,50%,62.96%,209
llc,,,,,152,20,13%,62.96%,1081
adr,,,,,374,160,43%,62.96%,1083
startup,,,,,131,7,5%,62.96%,1326
solar panels grant,,,,,150,19,13%,62.96%,587
my apprenticeship,,,,,142,14,10%,62.96%,1341
death register,,,,,361,152,42%,62.96%,320
certificate of no impediment,,,,,213,59,28%,62.96%,317
dartcharge,,,,,489,233,48%,62.96%,598
find a business,,,,,154,22,14%,62.96%,916
announcements,,,,,273,97,36%,62.96%,287
viability,,,,,165,29,18%,62.96%,232
laundry,,,,,165,29,18%,62.96%,1361
sincere systems group ltd,,,,,149,19,13%,62.96%,417
engineering apprenticeship,,,,,149,19,13%,62.96%,605
ict,,,,,206,55,27%,62.96%,576
further leave to remain,,,,,252,84,33%,62.96%,776
help to safe,,,,,125,4,3%,62.96%,912
make an appointment,,,,,155,23,15%,62.96%,917
b,,,,,404,180,45%,62.96%,1489
translator,,,,,204,54,26%,62.96%,817
how to apply,,,,,323,129,40%,62.96%,903
my ni number,/lost-national-insurance-number,3 perfect,3,,134,10,7%,62.96%,466
stop been self employed,,,,,172,34,20%,62.96%,196
ec04,,,,,129,7,5%,62.96%,86
legislation changes,,,,,259,89,34%,62.96%,804
company name,,,,,435,200,46%,62.96%,807
green bin,,,,,181,40,22%,62.96%,671
drainage,,,,,257,88,34%,62.96%,520
ni years,/check-national-insurance-record,3 perfect,3,,249,83,33%,62.96%,468
evidence of funds,,,,,195,49,25%,62.96%,373
change contact number,,,,,141,15,11%,62.96%,861
moving,,,,,214,61,29%,62.96%,774
unmarried partner visa,,,,,187,44,24%,62.96%,703
small business,,,,,271,97,36%,62.96%,419
certificate of application,,,,,144,17,12%,62.96%,224
indeed,,,,,182,41,23%,62.96%,597
questionnaire,,,,,201,53,26%,62.96%,839
ern,,,,,120,2,2%,62.96%,539
p80,,,,,120,2,2%,62.96%,1162
re,,,,,123,4,3%,62.96%,200
business case,,,,,172,35,20%,62.96%,360
windows,,,,,418,190,45%,62.96%,559
scrappage scheme,,,,,191,47,25%,62.96%,401
find ni number,/lost-national-insurance-number,3 perfect,3,,140,15,11%,62.96%,466
liverpool,,,,,305,119,39%,62.96%,1324
framework,,,,,178,39,22%,62.96%,231
claims,,,,,251,85,34%,62.96%,367
current consultations,,,,,124,5,4%,62.96%,209
sunak tax returns,/government/publications/prime-minister-rishi-sunaks-schedule-of-taxable-sources-of-income-and-gains,3 perfect,3,,143,17,12%,62.96%,11
change,,,,,527,259,49%,62.96%,804
poverty,,,,,203,55,27%,62.96%,350
passport number,,,,,222,67,30%,62.96%,862
starter check list,,,,,287,108,38%,62.96%,766
solar grants,,,,,198,52,26%,62.96%,587
testing,,,,,409,185,45%,62.96%,243
dashboard,,,,,266,95,36%,62.96%,756
confirm your identity,,,,,331,136,41%,62.96%,279
contact home office,,,,,277,102,37%,62.96%,158
travel to america,,,,,123,5,4%,62.96%,781
fitnote,,,,,123,5,4%,62.96%,1310
second passport,,,,,480,230,48%,62.96%,802
accessibility,,,,,399,179,45%,62.96%,232
pe,,,,,175,38,22%,62.96%,143
website,,,,,232,74,32%,62.96%,717
petition,,,,,451,212,47%,62.96%,290
cherished plates,,,,,149,22,15%,62.96%,864
home page,,,,,131,11,8%,62.96%,717
ulez charge,,,,,131,11,8%,62.96%,1034
investment,,,,,277,103,37%,62.96%,391
mechanic,,,,,142,18,13%,62.96%,605
vaccination,,,,,264,95,36%,62.96%,783
death notices,,,,,116,2,2%,62.96%,320
notice,,,,,235,77,33%,62.96%,843
withholding tax,/guidance/pay-tax-on-payments-to-foreign-performers,1 okay,1,,268,98,37%,62.96%,6
withholding tax,/government/publications/income-tax-royalty-withholding-tax,2 good,2,,268,98,37%,62.96%,6
cloned number plates,,,,,168,35,21%,62.96%,864
leeds,,,,,252,88,35%,62.96%,1311
redlist,,,,,120,5,4%,62.96%,819
exeter,,,,,158,29,18%,62.96%,1349
child visa,,,,,534,266,50%,62.96%,703
mod,,,,,507,249,49%,62.96%,257
environmental health,,,,,172,38,22%,62.96%,183
accomodation,,,,,121,6,5%,62.96%,209
business registration,,,,,251,88,35%,62.96%,424
training courses,,,,,170,37,22%,62.96%,32
vehicle insurance,,,,,416,192,46%,62.96%,481
repayments,,,,,362,158,44%,62.96%,459
tax rebait,/claim-tax-refund,3 perfect,3,,408,187,46%,62.96%,6
social security number,,,,,146,22,15%,62.96%,275
application return form,,,,,165,34,21%,62.96%,204
cpc codes,,,,,130,12,9%,62.96%,724
social media,,,,,233,77,33%,62.96%,275
ni number,/national-insurance,3 perfect,3,,133,14,11%,62.96%,466
nhs foundation trust amalgamation,,,,,117,4,3%,62.96%,267
maths,,,,,309,125,40%,62.96%,40
cv boot,,,,,347,149,43%,62.96%,665
my documents,,,,,120,6,5%,62.96%,284
drone,,,,,277,105,38%,62.96%,501
engineer,,,,,223,71,32%,62.96%,605
work from home allowance,/tax-relief-for-employees/working-at-home,3 perfect,3,,142,20,14%,62.96%,64
logo,,,,,215,66,31%,62.96%,1242
claim a trust,,,,,118,5,4%,62.96%,367
signage,,,,,118,5,4%,62.96%,849
nics,,,,,216,67,31%,62.96%,1256
dap,,,,,116,4,3%,62.96%,1436
free,,,,,230,76,33%,62.96%,905
new business,,,,,190,51,27%,62.96%,59
businesses,,,,,163,34,21%,62.96%,424
sunak tax,/government/publications/prime-minister-rishi-sunaks-schedule-of-taxable-sources-of-income-and-gains,3 perfect,3,,128,12,9%,62.96%,6
driving and transport,,,,,396,181,46%,62.96%,476
compliance,,,,,242,84,35%,62.96%,230
ask online,/contact-hmrc,2 good,2,,242,84,35%,62.96%,920
lawyers,,,,,142,21,15%,62.96%,323
cherished plate,,,,,145,23,16%,62.96%,864
update employment,,,,,156,30,19%,62.96%,739
bds,,,,,113,3,3%,62.96%,253
applying for irl,,,,,113,3,3%,62.96%,579
chief,,,,,225,74,33%,62.96%,52
lez,,,,,217,69,32%,62.96%,1149
gov id,,,,,263,98,37%,62.96%,1449
chilcare account,,,,,355,156,44%,62.96%,282
elms,,,,,128,13,10%,62.96%,1259
teacher misconduct,,,,,401,185,46%,62.96%,1339
utc,,,,,120,8,7%,62.96%,1425
game,,,,,166,37,22%,62.96%,888
dso1,,,,,112,3,3%,62.96%,1329
annex e,,,,,169,39,23%,62.96%,1457
hotel,,,,,288,114,40%,62.96%,164
post,,,,,153,29,19%,62.96%,831
aviation,,,,,172,41,24%,62.96%,215
union fees,,,,,118,7,6%,62.96%,451
pcc,,,,,191,53,28%,62.96%,1179
people,,,,,137,19,14%,62.96%,80
cyber,,,,,402,186,46%,62.96%,338
care work,,,,,324,137,42%,62.96%,188
rishi sunak tax,/government/publications/prime-minister-rishi-sunaks-schedule-of-taxable-sources-of-income-and-gains,3 perfect,3,,135,18,13%,62.96%,11
statistics,,,,,427,202,47%,62.96%,820
solicitor,,,,,200,59,30%,62.96%,325
dec,,,,,192,54,28%,62.96%,1421
attestation,,,,,138,20,14%,62.96%,415
guide,,,,,211,66,31%,62.96%,837
api,,,,,268,102,38%,62.96%,1171
caregiver jobs,,,,,187,51,27%,62.96%,179
processing time,,,,,217,70,32%,62.96%,89
social security,,,,,317,133,42%,62.96%,275
army,,,,,236,82,35%,62.96%,302
российская федерация,,,,,128,14,11%,62.96%,1253
search,,,,,193,55,28%,62.96%,754
contact gov.uk,,,,,131,16,12%,62.96%,867
web filling,,,,,115,6,5%,62.96%,711
self-certification,/taking-sick-leave,3 perfect,3,,180,47,26%,62.96%,192
pes,,,,,121,10,8%,62.96%,1177
activation code,,,,,278,109,39%,62.96%,725
cancel council tax,pay-council-tax,2 good,2,,143,24,17%,62.96%,17
trans,,,,,108,2,2%,62.96%,593
se,,,,,111,4,4%,62.96%,981
pasaport,,,,,111,4,4%,62.96%,1350
covid certificate,,,,,230,79,34%,62.96%,784
veteran id card,,,,,122,11,9%,62.96%,1453
"""pra""",,,,,106,1,1%,62.96%,1236
life time allowance,,,,,179,47,26%,62.96%,87
my applications,,,,,109,3,3%,62.96%,225
epic,,,,,109,3,3%,62.96%,1258
medication,,,,,285,114,40%,62.96%,37
climate change,,,,,369,167,45%,62.96%,528
shielding,,,,,110,4,4%,62.96%,543
delivery,,,,,156,33,21%,62.96%,601
ask hmrc on line,/contact-hmrc,3 perfect,3,,302,125,41%,62.96%,921
repatriation,,,,,148,28,19%,62.96%,211
school placement,/schools-admissions,3 perfect,3,,116,8,7%,62.96%,22
depression,,,,,208,66,32%,62.96%,126
certificate of service,,,,,130,17,13%,62.96%,224
gov id check,,,,,187,53,28%,62.96%,1452
offshore,,,,,179,48,27%,62.96%,496
certificate provider,,,,,144,26,18%,62.96%,224
taxi,,,,,482,239,50%,62.96%,491
plumber,,,,,155,33,21%,62.96%,519
